Destination Country,Origin Country,2020,2021,2022,2023
Brunei Darussalam,Malaysia ,16 869,568,12 175,34 534
Cambodia,Malaysia ,25 734,2 989,53 123,87 825
Indonesia,Malaysia ,980 118,480 723,1 212 574,1 901 242
Lao PDR,Malaysia ,5 800,,6 382,16 761
Myanmar,Malaysia ,8 497,981,3 892,7 703
Philippines,Malaysia ,23 359,1 620,46 805,97 639
Singapore,Malaysia ,153 650,24 217,590 958,1 088 162
Thailand,Malaysia ,619 451,5 511,1 948 549,4 626 422
Viet Nam,Malaysia ,116 221,,170 870,470 105
Malaysia,Total Country (World),4 332 722,134 728,10 070 964,20 141 846
Malaysia,Brunei Darussalam ,136 020,773,301 757,811 833
Malaysia,Cambodia ,16 548,250,39 823,72 627
Malaysia,Indonesia ,711 723,11 025,1 481 739,3 108 165
Malaysia,Lao PDR ,5 424,425,7 010,16 781
Malaysia,Myanmar ,9 745,377,36 765,86 298
Malaysia,Philippines ,66 051,2 317,159 442,339 282
Malaysia,Singapore ,1 545 255,16 308,5 222 991,8 308 230
Malaysia,Thailand ,394 413,59 607,715 528,1 551 282
Malaysia,Viet Nam ,64 184,583,173 763,344 361
