year,soe,arrivals_male,arrivals_female
2020,Johor,1992547,1399398
2020,Kedah,173493,115749
2020,Kelantan,53826,46549
2020,Melaka,4826,5477
2020,Negeri Sembilan,5476,2876
2020,Pahang,980,812
2020,Perak,22041,24489
2020,Perlis,106276,54942
2020,Pulau Pinang,63411,72418
2020,Sabah,47528,54979
2020,Sarawak,177389,119994
2020,Selangor,938551,680566
2020,Terengganu,0,0
2020,W.P. Labuan,4840,2526
2021,Johor,6452,2175
2021,Kedah,214467,580
2021,Kelantan,11,16
2021,Melaka,0,0
2021,Negeri Sembilan,0,0
2021,Pahang,0,0
2021,Perak,26,43
2021,Perlis,98534,2387
2021,Pulau Pinang,1817,822
2021,Sabah,95,61
2021,Sarawak,9556,351
2021,Selangor,93610,39405
2021,Terengganu,0,0
2021,W.P. Labuan,0,0
2022,Johor,5367706,4006454
2022,Kedah,347638,189489
2022,Kelantan,94465,91684
2022,Melaka,21975,27410
2022,Negeri Sembilan,34015,16211
2022,Pahang,1001,602
2022,Perak,44469,48399
2022,Perlis,283481,153770
2022,Pulau Pinang,182975,207609
2022,Sabah,67847,74307
2022,Sarawak,345197,282955
2022,Selangor,2006270,1246175
2022,Terengganu,0,0
2022,W.P. Labuan,4151,2224
2023,Johor,9538441,7672634
2023,Kedah,592088,474950
2023,Kelantan,288620,258583
2023,Melaka,25712,31265
2023,Negeri Sembilan,55502,30113
2023,Pahang,5033,4178
2023,Perak,107022,122212
2023,Perlis,402739,283529
2023,Pulau Pinang,483703,549304
2023,Sabah,165025,189316
2023,Sarawak,899603,759912
2023,Selangor,4396425,3156816
2023,Terengganu,0,0
2023,W.P. Labuan,14611,7916
2024,Johor,5431337,4504173
2024,Kedah,294646,251095
2024,Kelantan,170187,166138
2024,Melaka,10880,13107
2024,Negeri Sembilan,22083,14206
2024,Pahang,2969,2456
2024,Perak,53559,61154
2024,Perlis,192962,143742
2024,Pulau Pinang,281600,326378
2024,Sabah,147718,186136
2024,Sarawak,654849,571238
2024,Selangor,2598074,2159565
2024,Terengganu,0,0
2024,W.P. Labuan,7007,4171
