year,soe,gender,visitor_count
2020,Johor,Female,1399398
2020,Johor,Male,1992547
2020,Kedah,Female,115749
2020,Kedah,Male,173493
2020,Kelantan,Female,46549
2020,Kelantan,Male,53826
2020,Melaka,Female,5477
2020,Melaka,Male,4826
2020,Negeri Sembilan,Female,2876
2020,Negeri Sembilan,Male,5476
2020,Pahang,Female,812
2020,Pahang,Male,980
2020,Perak,Female,24489
2020,Perak,Male,22041
2020,Perlis,Female,54942
2020,Perlis,Male,106276
2020,Pulau Pinang,Female,72418
2020,Pulau Pinang,Male,63411
2020,Sabah,Female,54979
2020,Sabah,Male,47528
2020,Sarawak,Female,119994
2020,Sarawak,Male,177389
2020,Selangor,Female,680566
2020,Selangor,Male,938551
2020,Terengganu,Female,1
2020,Terengganu,Male,48
2020,W.P. Labuan,Female,2526
2020,W.P. Labuan,Male,4840
2021,Johor,Female,2175
2021,Johor,Male,6452
2021,Kedah,Female,580
2021,Kedah,Male,214467
2021,Kelantan,Female,16
2021,Kelantan,Male,11
2021,Melaka,Female,3
2021,Melaka,Male,4
2021,Negeri Sembilan,Female,0
2021,Negeri Sembilan,Male,0
2021,Pahang,Female,0
2021,Pahang,Male,7
2021,Perak,Female,43
2021,Perak,Male,26
2021,Perlis,Female,2387
2021,Perlis,Male,98534
2021,Pulau Pinang,Female,822
2021,Pulau Pinang,Male,1817
2021,Sabah,Female,61
2021,Sabah,Male,95
2021,Sarawak,Female,351
2021,Sarawak,Male,9556
2021,Selangor,Female,39405
2021,Selangor,Male,93610
2021,Terengganu,Female,0
2021,Terengganu,Male,47
2021,W.P. Labuan,Female,4
2021,W.P. Labuan,Male,86
2022,Johor,Female,4006454
2022,Johor,Male,5367706
2022,Kedah,Female,189489
2022,Kedah,Male,347638
2022,Kelantan,Female,91684
2022,Kelantan,Male,94465
2022,Melaka,Female,27410
2022,Melaka,Male,21975
2022,Negeri Sembilan,Female,16211
2022,Negeri Sembilan,Male,34015
2022,Pahang,Female,602
2022,Pahang,Male,1001
2022,Perak,Female,48399
2022,Perak,Male,44469
2022,Perlis,Female,153770
2022,Perlis,Male,283481
2022,Pulau Pinang,Female,207609
2022,Pulau Pinang,Male,182975
2022,Sabah,Female,74307
2022,Sabah,Male,67847
2022,Sarawak,Female,282955
2022,Sarawak,Male,345197
2022,Selangor,Female,1246175
2022,Selangor,Male,2006270
2022,Terengganu,Female,5
2022,Terengganu,Male,28
2022,W.P. Labuan,Female,2224
2022,W.P. Labuan,Male,4151
2023,Johor,Female,7672634
2023,Johor,Male,9538441
2023,Kedah,Female,474950
2023,Kedah,Male,592088
2023,Kelantan,Female,258583
2023,Kelantan,Male,288620
2023,Melaka,Female,31265
2023,Melaka,Male,25712
2023,Negeri Sembilan,Female,30113
2023,Negeri Sembilan,Male,55502
2023,Pahang,Female,4178
2023,Pahang,Male,5033
2023,Perak,Female,122212
2023,Perak,Male,107022
2023,Perlis,Female,283529
2023,Perlis,Male,402739
2023,Pulau Pinang,Female,549304
2023,Pulau Pinang,Male,483703
2023,Sabah,Female,189316
2023,Sabah,Male,165025
2023,Sarawak,Female,759912
2023,Sarawak,Male,899603
2023,Selangor,Female,3156816
2023,Selangor,Male,4396425
2023,Terengganu,Female,4
2023,Terengganu,Male,48
2023,W.P. Labuan,Female,7916
2023,W.P. Labuan,Male,14611
2024,Johor,Female,4504173
2024,Johor,Male,5431337
2024,Kedah,Female,251095
2024,Kedah,Male,294646
2024,Kelantan,Female,166138
2024,Kelantan,Male,170187
2024,Melaka,Female,13107
2024,Melaka,Male,10880
2024,Negeri Sembilan,Female,14206
2024,Negeri Sembilan,Male,22083
2024,Pahang,Female,2456
2024,Pahang,Male,2969
2024,Perak,Female,61154
2024,Perak,Male,53559
2024,Perlis,Female,143742
2024,Perlis,Male,192962
2024,Pulau Pinang,Female,326378
2024,Pulau Pinang,Male,281600
2024,Sabah,Female,186136
2024,Sabah,Male,147718
2024,Sarawak,Female,571238
2024,Sarawak,Male,654849
2024,Selangor,Female,2159565
2024,Selangor,Male,2598074
2024,Terengganu,Female,31
2024,Terengganu,Male,51
2024,W.P. Labuan,Female,4171
2024,W.P. Labuan,Male,7007
