year,state,arrivals,latitude,longitude
2015,Kuala Lumpur,"9,341,801",3.139,101.6869
2016,Kuala Lumpur,"9,436,404",3.139,101.6869
2017,Kuala Lumpur,"10,717,479",3.139,101.6869
2018,Kuala Lumpur,"11,602,079",3.139,101.6869
2019,Kuala Lumpur,"10,931,619",3.139,101.6869
2020,Kuala Lumpur,"1,584,088",3.139,101.6869
2021,Kuala Lumpur,"41,797",3.139,101.6869
2022,Kuala Lumpur,"4,281,244",3.139,101.6869
2015,Putrajaya,"151,740",2.9264,101.6964
2016,Putrajaya,"166,473",2.9264,101.6964
2017,Putrajaya,"177,602",2.9264,101.6964
2018,Putrajaya,"188,740",2.9264,101.6964
2019,Putrajaya,"178,498",2.9264,101.6964
2020,Putrajaya,"20,874",2.9264,101.6964
2021,Putrajaya,"1,443",2.9264,101.6964
2022,Putrajaya,"56,610",2.9264,101.6964
2015,Selangor,"1,613,299",3.0738,101.5183
2016,Selangor,"1,624,265",3.0738,101.5183
2017,Selangor,"1,688,659",3.0738,101.5183
2018,Selangor,"1,998,361",3.0738,101.5183
2019,Selangor,"1,866,153",3.0738,101.5183
2020,Selangor,"322,618",3.0738,101.5183
2021,Selangor,"66,829",3.0738,101.5183
2022,Selangor,"1,572,497",3.0738,101.5183
2015,Penang,"2,879,899",5.4141,100.3288
2016,Penang,"2,911,783",5.4141,100.3288
2017,Penang,"2,911,429",5.4141,100.3288
2018,Penang,"3,016,491",5.4141,100.3288
2019,Penang,"2,848,750",5.4141,100.3288
2020,Penang,"526,295",5.4141,100.3288
2021,Penang,"11,190",5.4141,100.3288
2022,Penang,"1,256,628",5.4141,100.3288
2015,Perak,"265,794",4.5975,101.0901
2016,Perak,"267,517",4.5975,101.0901
2017,Perak,"267,245",4.5975,101.0901
2018,Perak,"291,253",4.5975,101.0901
2019,Perak,"293,256",4.5975,101.0901
2020,Perak,"55,135",4.5975,101.0901
2021,Perak,"4,554",4.5975,101.0901
2022,Perak,"333,306",4.5975,101.0901
2015,Kedah,"1,207,824",6.1248,100.3674
2016,Kedah,"1,281,471",6.1248,100.3674
2017,Kedah,"1,407,261",6.1248,100.3674
2018,Kedah,"1,589,344",6.1248,100.3674
2019,Kedah,"1,583,215",6.1248,100.3674
2020,Kedah,"375,582",6.1248,100.3674
2021,Kedah,"7,890",6.1248,100.3674
2022,Kedah,"589,439",6.1248,100.3674
2015,Perlis,"5,921",6.4434,100.1982
2016,Perlis,"5,946",6.4434,100.1982
2017,Perlis,"5,943",6.4434,100.1982
2018,Perlis,"5,910",6.4434,100.1982
2019,Perlis,"5,700",6.4434,100.1982
2020,Perlis,"1,113",6.4434,100.1982
2021,Perlis,88,6.4434,100.1982
2022,Perlis,"4,709",6.4434,100.1982
2015,Negeri Sembilan,"456,013",2.7252,101.9378
2016,Negeri Sembilan,"459,966",2.7252,101.9378
2017,Negeri Sembilan,"461,788",2.7252,101.9378
2018,Negeri Sembilan,"459,279",2.7252,101.9378
2019,Negeri Sembilan,"459,539",2.7252,101.9378
2020,Negeri Sembilan,"66,437",2.7252,101.9378
2021,Negeri Sembilan,"8,511",2.7252,101.9378
2022,Negeri Sembilan,"89,048",2.7252,101.9378
2015,Melaka,"1,809,489",2.1896,102.2501
2016,Melaka,"1,804,544",2.1896,102.2501
2017,Melaka,"1,704,386",2.1896,102.2501
2018,Melaka,"1,555,103",2.1896,102.2501
2019,Melaka,"1,465,372",2.1896,102.2501
2020,Melaka,"180,422",2.1896,102.2501
2021,Melaka,"10,445",2.1896,102.2501
2022,Melaka,"536,249",2.1896,102.2501
2015,Johor,"2,565,092",1.4927,103.7414
2016,Johor,"2,581,983",1.4927,103.7414
2017,Johor,"2,624,972",1.4927,103.7414
2018,Johor,"2,615,254",1.4927,103.7414
2019,Johor,"2,548,685",1.4927,103.7414
2020,Johor,"418,237",1.4927,103.7414
2021,Johor,"10,180",1.4927,103.7414
2022,Johor,"2,039,675",1.4927,103.7414
2015,Pahang,"2,328,815",3.8077,103.326
2016,Pahang,"2,369,945",3.8077,103.326
2017,Pahang,"2,563,991",3.8077,103.326
2018,Pahang,"2,686,594",3.8077,103.326
2019,Pahang,"2,754,449",3.8077,103.326
2020,Pahang,"517,572",3.8077,103.326
2021,Pahang,"7,631",3.8077,103.326
2022,Pahang,"1,689,554",3.8077,103.326
2015,Terengganu,"187,388",5.329,103.1368
2016,Terengganu,"192,530",5.329,103.1368
2017,Terengganu,"188,044",5.329,103.1368
2018,Terengganu,"179,556",5.329,103.1368
2019,Terengganu,"179,324",5.329,103.1368
2020,Terengganu,"19,796",5.329,103.1368
2021,Terengganu,"1,677",5.329,103.1368
2022,Terengganu,"86,846",5.329,103.1368
2015,Kelantan,"58,327",6.1254,102.2386
2016,Kelantan,"57,664",6.1254,102.2386
2017,Kelantan,"57,337",6.1254,102.2386
2018,Kelantan,"54,074",6.1254,102.2386
2019,Kelantan,"49,211",6.1254,102.2386
2020,Kelantan,"4,520",6.1254,102.2386
2021,Kelantan,"1,790",6.1254,102.2386
2022,Kelantan,"36,969",6.1254,102.2386
2015,Sabah,"1,986,136",5.9804,116.0735
2016,Sabah,"2,036,610",5.9804,116.0735
2017,Sabah,"2,548,491",5.9804,116.0735
2018,Sabah,"3,108,364",5.9804,116.0735
2019,Sabah,"3,057,376",5.9804,116.0735
2020,Sabah,"486,344",5.9804,116.0735
2021,Sabah,"3,246",5.9804,116.0735
2022,Sabah,"677,103",5.9804,116.0735
2015,Labuan,"114,140",5.2767,115.2417
2016,Labuan,"111,815",5.2767,115.2417
2017,Labuan,"105,710",5.2767,115.2417
2018,Labuan,"89,643",5.2767,115.2417
2019,Labuan,"75,447",5.2767,115.2417
2020,Labuan,"21,737",5.2767,115.2417
2021,Labuan,"2,003",5.2767,115.2417
2022,Labuan,"31,025",5.2767,115.2417
2015,Sarawak,"599,400",1.5533,110.3593
2016,Sarawak,"599,985",1.5533,110.3593
2017,Sarawak,"599,812",1.5533,110.3593
2018,Sarawak,"560,512",1.5533,110.3593
2019,Sarawak,"539,599",1.5533,110.3593
2020,Sarawak,"100,257",1.5533,110.3593
2021,Sarawak,"9,466",1.5533,110.3593
2022,Sarawak,"618,251",1.5533,110.3593
