soe,year,arrivals,size
Johor,2020,3391945,19210
Johor,2021,8627,19210
Johor,2022,9374160,19210
Johor,2023,17211075,19210
Johor,2024,9935510,19210
Kedah,2020,289242,9425
Kedah,2021,215047,9425
Kedah,2022,537127,9425
Kedah,2023,1067038,9425
Kedah,2024,545741,9425
Kelantan,2020,100375,15099
Kelantan,2021,27,15099
Kelantan,2022,186149,15099
Kelantan,2023,547203,15099
Kelantan,2024,336325,15099
Melaka,2020,10303,303
Melaka,2021,7,303
Melaka,2022,49385,303
Melaka,2023,56977,303
Melaka,2024,23987,303
Negeri Sembilan,2020,8352,6686
Negeri Sembilan,2021,0,6686
Negeri Sembilan,2022,50226,6686
Negeri Sembilan,2023,85615,6686
Negeri Sembilan,2024,36289,6686
Pahang,2020,1792,36137
Pahang,2021,7,36137
Pahang,2022,1603,36137
Pahang,2023,9211,36137
Pahang,2024,5425,36137
Perak,2020,46530,21035
Perak,2021,69,21035
Perak,2022,92868,21035
Perak,2023,229234,21035
Perak,2024,114713,21035
Perlis,2020,161218,821
Perlis,2021,100921,821
Perlis,2022,437251,821
Perlis,2023,686268,821
Perlis,2024,336704,821
Penang,2020,135829,121
Penang,2021,2639,121
Penang,2022,390584,121
Penang,2023,1033007,121
Penang,2024,607978,121
Sabah,2020,102507,73904
Sabah,2021,156,73904
Sabah,2022,142154,73904
Sabah,2023,354341,73904
Sabah,2024,333854,73904
Sarawak,2020,297383,124450
Sarawak,2021,9907,124450
Sarawak,2022,628152,124450
Sarawak,2023,1659515,124450
Sarawak,2024,1226087,124450
Selangor,2020,1619117,8104
Selangor,2021,133015,8104
Selangor,2022,3252445,8104
Selangor,2023,7553241,8104
Selangor,2024,4757639,8104
Terengganu,2020,49,13035
Terengganu,2021,47,13035
Terengganu,2022,33,13035
Terengganu,2023,52,13035
Terengganu,2024,82,13035
W.P. Labuan,2020,7366,91
W.P. Labuan,2021,90,91
W.P. Labuan,2022,6375,91
W.P. Labuan,2023,22527,91
W.P. Labuan,2024,11178,91
